,"761,-21.0"
266,"600942,-8.0"
267,"602925,-15.0"
268,"605714,-7.0"
269,"608774,-5.0"
270,"611900,-3.0"
271,"615262,-6.0"
272,"618444,-3.0"
273,"621363,-5.0"
274,"624593,-5.0"
275,"627421,-6.0"
276,"630192,-6.0"
277,"632880,-5.0"
278,"636140,2.0"
279,"639117,-5.0"
280,"642464,1.0"
281,"645260,-5.0"
282,"647570,-12.0"
283,"650012,-7.0"
284,"652395,-11.0"
285,"654947,-9.0"
286,"657582,-7.0"
287,"660063,-13.0"
288,"663159,-2.0"
289,"666444,-4.0"
290,"669570,-2.0"
291,"672350,-6.0"
292,"675883,1.0"
293,"678579,-6.0"
294,"681734,4.0"
295,"683775,-12.0"
296,"685878,-13.0"
297,"688597,-4.0"
298,"692005,1.0"
299,"695204,-6.0"
300,"698351,-5.0"
301,"701493,2.0"
302,"704137,-7.0"
303,"707080,-8.0"
304,"709788,-4.0"
305,"712339,-9.0"
306,"715465,-2.0"
307,"719218,-1.0"
308,"721574,-8.0"
309,"724286,-3.0"
310,"726902,-7.0"
311,"729868,-3.0"
312,"731234,-18.0"
313,"734830,-2.0"
314,"737929,2.0"
315,"741051,-4.0"
316,"742895,-15.0"
317,"746077,-6.0"
318,"748589,-9.0"
319,"751078,-7.0"
320,"753494,-8.0"
321,"756525,-6.0"
322,"759499,-5.0"
323,"762736,-7.0"
324,"765641,2.0"
325,"768037,-9.0"
326,"770854,-6.0"
327,"774020,-7.0"
328,"776907,-6.0"
329,"780257,-1.0"
330,"782765,-8.0"
331,"786136,2.0"
332,"788658,-5.0"
333,"791976,-2.0"
334,"794466,-10.0"
335,"795890,-17.0"
336,"798367,-10.0"
337,"800600,-10.0"
338,"803332,7.0"
339,"806407,5.0"
340,"809500,1.0"
341,"812622,-4.0"
342,"816123,-5.0"
343,"819490,-3.0"
344,"822792,-5.0"
345,"825235,-11.0"
346,"828170,-8.0"
347,"831345,-4.0"
348,"833607,-11.0"
349,"836190,-7.0"
350,"839190,-1.0"
351,"841754,-6.0"
352,"843991,-12.0"
353,"847943,1.0"
354,"851373,-1.0"
355,"854704,-6.0"
356,"857245,-7.0"
357,"860567,4.0"
358,"862874,12.0"
359,"866108,-3.0"
360,"868874,-5.0"
361,"871492,-9.0"
362,"874326,7.0"
363,"877379,-4.0"
364,"880450,5.0"
365,"883265,4.0"
366,"886397,-6.0"
367,"889491,-4.0"
368,"893045,1.0"
369,"895916,-4.0"
370,"899038,2.0"
371,"901465,12.0"
372,"904064,-8.0"
373,"907085,2.0"
374,"910428,-1.0"
375,"912908,-9.0"
376,"915570,-6.0"
377,"918577,-5.0"
378,"921838,5.0"
379,"924756,3.0"
380,"927503,2.0"
381,"930767,3.0"
382,"933747,-5.0"
383,"936913,1.0"
384,"939727,-5.0"
385,"942443,3.0"
386,"945442,6.0"
387,"948457,-3.0"
388,"951375,-6.0"
389,"954359,3.0"
390,"957814,-1.0"
391,"960832,2.0"
392,"963255,8.0"
393,"966532,2.0"
394,"969402,-2.0"
395,"972261,1.0"
396,"975031,-6.0"
397,"977549,10.0"
398,"980463,8.0"
399,"983902,1.0"
400,"986974,-1.0"
401,"990076,6.0"
402,"993457,1.0"
403,"996798,-3.0"
404,"999616,2.0"
405,"1003093,-2.0"
406,"1005674,7.0"
407,"1008677,3.0"
408,"1012096,3.0"
409,"1015139,2.0"
410,"1017786,-7.0"
411,"1020212,-6.0"
412,"1023118,-5.0"
413,"1026259,-1.0"
414,"1028769,-8.0"
415,"1030897,-11.0"
416,"1033850,3.0"
417,"1036920,-3.0"
418,"1039929,3.0"
419,"1043135,2.0"
420,"1046155,6.0"
421,"1049260,3.0"
422,"1052163,4.0"
423,"1054737,-4.0"
424,"1057714,6.0"
425,"1060529,-3.0"
426,"1063744,-2.0"
427,"1066564,6.0"
428,"1069662,-4.0"
429,"1072386,-2.0"
430,"1074909,-5.0"
431,"1077855,2.0"
432,"1080652,5.0"
433,"1083406,7.0"
434,"1086103,6.0"
435,"1088812,-7.0"
436,"1091811,9.0"
437,"1094452,-7.0"
438,"1097094,-7.0"
439,"1099969,6.0"
440,"1102911,2.0"
441,"1105481,7.0"
442,"1108516,-2.0"
443,"1111148,9.0"
444,"1113851,7.0"
445,"1116776,4.0"
446,"1119584,5.0"
447,"1122361,12.0"
448,"1125101,8.0"
449,"1128332,-1.0"
450,"1130669,13.0"
451,"1133523,-3.0"
452,"1136683,-4.0"
453,"1140235,-2.0"
454,"1143343,5.0"
455,"1146207,10.0"
456,"1149308,5.0"
457,"1151966,9.0"
458,"1155233,3.0"
459,"1157964,5.0"
460,"1160654,8.0"
461,"1163384,10.0"
462,"1166668,2.0"
463,"1169488,6.0"
464,"1172776,5.0"
465,"1175133,11.0"
466,"1178008,11.0"
467,"1180432,8.0"
468,"1183330,4.0"
469,"1185826,9.0"
470,"1188606,9.0"
471,"1191051,10.0"
472,"1193615,7.0"
473,"1196292,9.0"
474,"1198449,15.0"
475,"1201205,9.0"
476,"1204712,-2.0"
477,"1207188,9.0"
478,"1209976,6.0"
479,"1212777,9.0"
480,"1215381,9.0"
481,"1218659,2.0"
482,"1221269,9.0"
483,"1223807,12.0"
484,"1227242,2.0"
485,"1230216,6.0"
486,"1232622,-8.0"
487,"1235461,4.0"
488,"1238609,3.0"
489,"1241076,14.0"
490,"1243786,5.0"
491,"1246984,1.0"
492,"1249360,13.0"
493,"1252669,2.0"
494,"1254969,15.0"
495,"1257832,7.0"
496,"1260588,5.0"
497,"1262726,15.0"
498,"1265747,1.0"
499,"1268440,9.0"
